,,Kt1,Kt2,Kt3,Kt4,Kt5,Kt6,Kt7,Kt8,Kt9,Kt10,Kt11,Kt12,Kt13,Kt14,Kt15,,,,,,
Sr1,Ktr86,0.064090836,0.067674376,0.07025547,0.072538222,0.075226737,0.079025122,0.084637481,0.092334931,0.100656638,0.107708777,0.112084986,0.114328749,0.115471011,0.11639423,0.117386928,,,,,,
Sr1,Ktr87,0.08330744,0.078240571,0.076007576,0.07636565,0.079071993,0.083883799,0.090558266,0.098593118,0.106448179,0.112323803,0.115012184,0.115672891,0.116057334,0.117471438,0.119439182,,,,,,
Sr1,Ktr88,0.093511677,0.084766243,0.080977339,0.081229561,0.084607504,0.090195765,0.097078938,0.104293767,0.110685588,0.115051883,0.116674106,0.116769602,0.117039685,0.118701858,0.121038372,,,,,,
Sr1,Ktr89,0.089530293,0.085468206,0.085272531,0.087991201,0.092672147,0.098363303,0.1041126,0.109102669,0.113054945,0.115825559,0.117397539,0.11826148,0.119034873,0.120209067,0.121770837,,,,,,
Sr1,Ktr90,0.083638591,0.085830567,0.089862591,0.0950143,0.100565327,0.105795309,0.109983879,0.112665226,0.114391739,0.11597036,0.117967555,0.119987873,0.12139539,0.121910424,0.122678277,,,,,,
Sr1,Ktr91,0.092474012,0.093154259,0.095932381,0.10003821,0.104701581,0.109152328,0.112620285,0.114621741,0.11581881,0.117160058,0.119283799,0.121587318,0.123157646,0.123671735,0.125166231,,,,,,
Sr1,Ktr92,0.128113882,0.112198933,0.10371731,0.101011166,0.102422652,0.106293919,0.11096712,0.115055152,0.118253899,0.12052999,0.121939821,0.122898853,0.123912314,0.125803853,0.130670794,,,,,,
Sr1,Ktr93,0.184395062,0.1375591,0.109654992,0.096716926,0.094779092,0.099875676,0.108040867,0.115818919,0.121794351,0.125061749,0.125304792,0.124563533,0.125467121,0.130397812,0.140750288,,,,,,
Sr1,Ktr94,0.250594296,0.161287989,0.109233589,0.086148133,0.083748659,0.093752203,0.107875803,0.119209132,0.12633241,0.129198492,0.128441787,0.127422917,0.130184056,0.139989695,0.156993589,,,,,,
Sr1,Ktr95,0.316245974,0.177393514,0.100098094,0.069689117,0.071495988,0.090848112,0.113074891,0.126532958,0.131687846,0.132032314,0.131095524,0.132552241,0.140113632,0.156480648,0.180313369,,,,,,
Sr1,Ktr96,0.371915064,0.187702324,0.088520809,0.053290962,0.060933223,0.090368033,0.120515833,0.13514186,0.137390533,0.135251064,0.135737279,0.141961453,0.156060472,0.179232082,0.208917472,,,,,,
Sr1,Ktr97,0.408424183,0.195995752,0.082930868,0.044296442,0.055159384,0.090586605,0.125645014,0.141398377,0.142897871,0.141191529,0.145519972,0.15789418,0.178517722,0.206970474,0.240337539,,,,,,
Sr1,Ktr98,0.418631348,0.204669986,0.089247535,0.047992184,0.05653212,0.090495534,0.125510614,0.143082602,0.148224956,0.151828187,0.162749848,0.181715654,0.207418366,0.238397963,0.272583318,,,,,,
Sr1,Ktr99,0.403536193,0.210580639,0.103350617,0.061440233,0.064443595,0.09195481,0.123567986,0.143644856,0.155617664,0.16768628,0.186346464,0.211277543,0.240454736,0.272119343,0.305576995,,,,,,
Sr1,Ktr100,0.366173754,0.209198176,0.11861005,0.079646487,0.077544598,0.097541491,0.124874278,0.147953017,0.167879569,0.188928739,0.214382707,0.243553121,0.274759002,0.306715072,0.339718869,,,,,,
Sr1,Ktr101,0.311919511,0.197835541,0.129593352,0.098116283,0.094327677,0.109150875,0.133509219,0.159895837,0.187083009,0.215412802,0.245133861,0.276121147,0.308156199,0.341112861,0.375234194,,,,,,
Sr1,Ktr102,0.255510715,0.1811756,0.135658347,0.114352702,0.112652409,0.125951214,0.149642862,0.179445563,0.212375399,0.245772918,0.277684807,0.308982314,0.341242827,0.375629439,0.41164807,,,,,,
Sr1,Ktr103,0.214025061,0.165743692,0.137360438,0.126358263,0.130220129,0.146429001,0.172467841,0.205595319,0.242172922,0.278337844,0.311322826,0.342742802,0.375308252,0.41092879,0.448310551,,,,,,
Sr1,Ktr104,0.202229062,0.157623338,0.1357406,0.132867766,0.145291751,0.169299471,0.201177844,0.237392503,0.275123953,0.311731417,0.345418681,0.377767783,0.411205323,0.447342102,0.484525719,,,,,,
Sr1,Ktr105,0.225644506,0.161130755,0.133782089,0.135545131,0.158366507,0.194192842,0.23497076,0.274101609,0.310805633,0.345757795,0.379677064,0.413458412,0.448040816,0.483869383,0.51941375,,,,,,
Sr1,Ktr106,0.287482,0.180140341,0.134953733,0.136786562,0.170503214,0.220968075,0.273045532,0.31504141,0.349027296,0.380516218,0.413886148,0.448974839,0.484484989,0.519177845,0.552048844,,,,,,
Sr1,Ktr107,0.382422364,0.216077931,0.143430024,0.140687328,0.184058526,0.249752302,0.31397734,0.358723728,0.38910717,0.416024774,0.447942883,0.483604782,0.519322995,0.552108204,0.581763732,,,,,,
Sr1,Ktr108,0.471027263,0.260575129,0.166208118,0.158138981,0.206580468,0.281745331,0.353846318,0.400432604,0.428399049,0.451976938,0.482179312,0.517146246,0.551799572,0.582195188,0.608925261,,,,,,
Sr1,Ktr109,0.505328574,0.302814978,0.210990832,0.201732141,0.246914909,0.31841514,0.388108838,0.434645129,0.463765618,0.487985032,0.517036255,0.549524803,0.581274351,0.609147031,0.634158807,,,,,,
Sr1,Ktr110,0.458527664,0.335074324,0.279916417,0.276667358,0.308940562,0.360349446,0.414507424,0.458500441,0.493304563,0.523368382,0.552323732,0.580535408,0.607551442,0.633177069,0.658246321,,,,,,
Sr1,Ktr111,0.388503862,0.362005219,0.352864846,0.358584901,0.376667541,0.404614923,0.439929204,0.47978585,0.520053553,0.556274314,0.585328575,0.609450541,0.632212861,0.656519044,0.68259605,,,,,,
Sr1,Ktr112,0.374305986,0.391353514,0.404151523,0.415734969,0.429138804,0.447397984,0.473547462,0.508950708,0.548285257,0.584557157,0.612706814,0.635412065,0.6572851,0.681911802,0.708772816,,,,,,
Sr1,Ktr113,0.465690834,0.428202232,0.417756591,0.42806401,0.452834588,0.485778423,0.520605613,0.552275376,0.580743408,0.607214525,0.632800947,0.658244524,0.684194508,0.710943562,0.737357967,,,,,,
Sr1,Ktr114,0.595247117,0.466983074,0.416319142,0.422303477,0.463984231,0.520409559,0.570627616,0.599364238,0.614056006,0.627817179,0.650699322,0.680503196,0.711966863,0.740600028,0.764998961,,,,,,
Sr1,Ktr115,0.666271528,0.499464912,0.432143008,0.436881069,0.486254347,0.552838095,0.609207564,0.635652688,0.643322113,0.651079168,0.67317675,0.705426043,0.739027798,0.766716277,0.787359781,,,,,,
Sr1,Ktr116,0.613383039,0.519912902,0.486858372,0.497617895,0.535589914,0.584172875,0.626765222,0.651492345,0.665387425,0.680210586,0.704608626,0.734775029,0.763789951,0.786067174,0.801354987,,,,,,
Sr1,Ktr117,0.496489747,0.532577337,0.559400832,0.579908691,0.59704937,0.613771329,0.633023025,0.656899754,0.684084161,0.712405727,0.739772668,0.764408127,0.784613981,0.799186738,0.808901429,,,,,,
Sr1,Ktr118,0.40682203,0.544204796,0.618032338,0.646541598,0.647969515,0.640553029,0.642529081,0.666807686,0.70499117,0.743354933,0.771047177,0.788707312,0.79984755,0.807548772,0.813166531,,,,,,
Sr1,Ktr119,0.411329039,0.560110991,0.640019069,0.670809666,0.672239176,0.664063991,0.666040505,0.691960694,0.731758865,0.769404909,0.792552921,0.803593809,0.808602687,0.812657478,0.816847355,,,,,,
Sr1,Ktr120,0.479835008,0.579888177,0.638644116,0.668025569,0.67995528,0.686355994,0.699150455,0.726350446,0.760323909,0.789527827,0.805380542,0.811145841,0.813048875,0.816138639,0.82075951,,,,,,
Sr1,Ktr121,0.557882947,0.601697746,0.6361948,0.664006886,0.687766781,0.710107258,0.733661096,0.759780391,0.784694529,0.803352221,0.812363147,0.81498088,0.816119966,0.819648434,0.825248245,,,,,,
Sr1,Ktr122,0.603947974,0.624343046,0.64980804,0.678365474,0.708037865,0.736847733,0.762817595,0.784232176,0.800425029,0.810991912,0.816095247,0.818164101,0.820194201,0.824485077,0.830551455,,,,,,
Sr1,Ktr123,0.628233648,0.649195265,0.676019147,0.705890282,0.735993663,0.763514277,0.785637117,0.800400245,0.809254017,0.814501863,0.818216962,0.821551497,0.8254274,0.830514929,0.836477635,,,,,,
Sr1,Ktr124,0.653875642,0.678267551,0.70621303,0.735164539,0.762574535,0.785895478,0.802579826,0.811157238,0.81446618,0.81642232,0.820129813,0.825446766,0.831419775,0.837246385,0.84272793,,,,,,
Sr1,Ktr125,0.69718651,0.712274497,0.733365263,0.757278271,0.780832982,0.80084886,0.814145365,0.818913067,0.818826965,0.818933165,0.823050865,0.830091636,0.83774014,0.844085954,0.848838311,,,,,,
Sr1,Ktr126,0.747186337,0.746736489,0.756814071,0.773348712,0.792270043,0.809507694,0.820991295,0.824226725,0.823024856,0.822772807,0.827459363,0.835479964,0.843831715,0.850032593,0.853684058,,,,,,
Sr1,Ktr127,0.786072093,0.775875363,0.777488343,0.786999897,0.800498891,0.814074189,0.823814657,0.827194476,0.827229098,0.828319291,0.833650095,0.841543639,0.849106323,0.853983369,0.855975277,,,,,,
Sr1,Ktr128,0.797838282,0.794726637,0.796572786,0.801869724,0.80911044,0.816787927,0.823395176,0.827944939,0.831529007,0.83575893,0.841672763,0.848014573,0.852954932,0.855119538,0.854954603,,,,,,
Sr1,Ktr129,0.773669561,0.801580569,0.816275383,0.821651533,0.821606551,0.820037967,0.820843313,0.826736151,0.835694178,0.844511122,0.850596724,0.853824778,0.854685092,0.853759104,0.851994784,,,,,,
