,Kt1,Kt2,Kt3,Kt4,Kt5,Kt6,Kt7,Kt8,Kt9,Kt10,Kt11,Kt12,Kt13,Kt14,Kt15,Kt16,Kt17,Kt18,Kt19,Kt20,Kt21,Kt22,Kt23,Kt24,Kt25,Kt26,Kt27,Kt28,Kt29,Kt30,Kt31,Kt32,Kt33,Kt34,Kt35,Kt36,Kt37,Kt38,Kt39,Kt40,Kt41,Kt42,Kt43,Kt44
Ktr22,0.016207751,0.010842428,0.008281646,0.007990957,0.009435911,0.012082059,0.015394952,0.018911836,0.022456731,0.025925353,0.029229074,0.032341882,0.035253421,0.037915114,0.040125495,0.041644879,0.043134646,0.046625482,0.048126028,0.047098341,0.047247033,0.022539941,0.007733175,0.016538811,0.029829131,0.10221485,0.130363438,0.485570102,0.802469666,0.855929056,0.840518976,0.812656141,0.785221043,0.743051683,0.663009232,0.539035878,0.316916251,0.236125336,0.176798742,0.08336239,0.230920918,0.075715945,0.149002182,0.152304109
Ktr23,0.050916737,0.026878728,0.012275601,0.005359413,0.004382218,0.007596074,0.013253037,0.019749953,0.026062833,0.031312481,0.034867057,0.037084162,0.038568757,0.039819537,0.040910144,0.041807957,0.044120765,0.047618712,0.047856196,0.047081046,0.045297086,0.018951736,0.007334555,0.018527454,0.033912466,0.107668675,0.141203743,0.520342031,0.811242994,0.853607722,0.839472804,0.810520222,0.783143273,0.738161124,0.655646765,0.524533039,0.303940939,0.229162472,0.17065289,0.083768358,0.233615258,0.072595251,0.153634136,0.152241427
Ktr24,0.087344988,0.043301596,0.015931334,0.002134306,0,0.002860369,0.011183665,0.020912393,0.030105564,0.037053975,0.040563311,0.041498809,0.041240597,0.040962321,0.041011686,0.041529917,0.045461065,0.048213177,0.047416408,0.047099402,0.042082829,0.016210876,0.007954648,0.020264094,0.038774041,0.111581487,0.158213525,0.552557257,0.81458229,0.850140857,0.837759232,0.808549807,0.780791415,0.732427768,0.648000317,0.507365142,0.293878094,0.221908844,0.163184285,0.08916391,0.228347881,0.074565373,0.156263966,0.148211525
Ktr25,0.102424872,0.048674618,0.015889876,0,0,0.002622263,0.012993109,0.024349328,0.034485729,0.041570215,0.044381466,0.044141278,0.042682226,0.041555125,0.041183741,0.041710082,0.046776633,0.048351338,0.047050765,0.047305486,0.037765689,0.013800759,0.009451992,0.022021174,0.044289036,0.113964644,0.181331709,0.581973589,0.816491665,0.847834553,0.835112383,0.806541807,0.777480749,0.726206966,0.639594115,0.488625958,0.28562809,0.215451171,0.15448251,0.099384559,0.215686381,0.080923708,0.156650793,0.144288618
Ktr26,0.08090735,0.035778261,0.010379526,0.000460801,0.001771742,0.010062005,0.021081247,0.031159623,0.038949283,0.043682874,0.044990272,0.044090263,0.042598862,0.041844818,0.042007814,0.042980272,0.047747063,0.048034764,0.046938012,0.04772824,0.032608192,0.011365672,0.011638677,0.024059641,0.050298258,0.114995529,0.210091939,0.608613053,0.8201497,0.84825516,0.831461946,0.804345239,0.772802758,0.719793438,0.630035611,0.469273629,0.278275957,0.210550577,0.144778834,0.113879573,0.196750419,0.090686117,0.154758686,0.143218151
Ktr27,0.038817751,0.014260514,0.003977657,0.004300797,0.011561555,0.022091548,0.032222396,0.039036923,0.042622776,0.043818808,0.043478944,0.042517401,0.041863467,0.042219099,0.043376941,0.044902306,0.048285983,0.047501448,0.046995481,0.047904082,0.027277263,0.009193465,0.014141016,0.026594465,0.056505011,0.115515641,0.242406731,0.633554523,0.825432851,0.850010065,0.827519897,0.802017545,0.767453717,0.713239381,0.61926516,0.449723787,0.271645332,0.206665816,0.134871271,0.130553234,0.174867932,0.101742307,0.151371502,0.142430481
Ktr28,0,0,0.002848905,0.012124023,0.023347633,0.034055774,0.041784481,0.044823563,0.044477907,0.042806169,0.041541819,0.041117568,0.041640938,0.04310088,0.045012042,0.0467705,0.048365526,0.047048489,0.047075145,0.047246299,0.022540926,0.007732876,0.016538876,0.029829121,0.062578227,0.116532505,0.275783317,0.658141084,0.83139204,0.850966914,0.824193781,0.799668277,0.762406102,0.706536362,0.607306343,0.430256434,0.265744505,0.202930046,0.12569952,0.146923576,0.153918926,0.111700443,0.147478048,0.138027196
Ktr29,0,0,0.011099242,0.023766508,0.03440742,0.042180155,0.046242891,0.046261285,0.043930918,0.041454851,0.040576113,0.041197595,0.042762156,0.044730008,0.046630778,0.048011449,0.048011436,0.04689535,0.04707905,0.04529257,0.018953189,0.007334265,0.018527565,0.033912353,0.068330006,0.118700901,0.308381492,0.683449019,0.837226087,0.849592102,0.822110669,0.797372836,0.758401542,0.699674043,0.594375461,0.411047236,0.26054006,0.198692091,0.117881416,0.161233406,0.136820807,0.118850384,0.143923449,0.127862794
Ktr30,0,0.008044636,0.024599959,0.035992267,0.042952737,0.046212547,0.046502873,0.044689447,0.042176223,0.040501711,0.040790581,0.042512157,0.044721924,0.046614095,0.04793779,0.048580857,0.047463891,0.046950943,0.047109524,0.042078153,0.01621199,0.007954467,0.020264159,0.038773967,0.074145134,0.121264622,0.340971273,0.709487396,0.842725394,0.846747033,0.820775735,0.795070037,0.755258285,0.692634464,0.581459703,0.391854513,0.255831756,0.194163434,0.110747338,0.174624611,0.122640588,0.124208739,0.140978104,0.116803421
Ktr31,0,0.022805455,0.037163678,0.044797312,0.047429004,0.046781397,0.044577137,0.042346812,0.040852781,0.040665347,0.042096861,0.044427885,0.046681027,0.048077692,0.04863446,0.048566707,0.04701668,0.047046543,0.047318965,0.0377627,0.013801247,0.009451936,0.022021173,0.044289039,0.080551571,0.123114714,0.37497524,0.735998481,0.847828257,0.843891862,0.819413677,0.792664546,0.752563733,0.685397764,0.569738981,0.372332247,0.251377644,0.189771223,0.103305796,0.188963849,0.109482682,0.12947381,0.138768728,0.111468131
